id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
16	中国	0.3579	-0.3039	3	3	4	3	2015.3333
17	中国式现代化	-0.1401	-0.3086	9	2	2	2	2023.5
34	低碳城市	0.2569	0.0358	3	2	3	3	2014.6667
73	发展战略	0.4596	-0.5388	3	6	7	4	2008
75	发展模式	1.1966	0.2609	5	4	4	3	2015.3333
78	可持续发展	0.0663	-0.0694	10	18	30	24	2008.75
112	城市化	0.2773	-0.3806	6	4	5	3	2017
113	城市发展	0.0699	0.6717	1	6	6	4	2012.25
117	城市可持续发展	-1.0379	0.4686	4	3	4	2	2017.5
123	城市废弃物	0.1989	-0.663	7	3	5	2	2009.5
124	城市建设	0.3689	-0.7417	7	6	6	3	2011.6667
125	城市形态	-0.1001	-0.2802	9	4	4	2	2021
131	城市更新	-0.5386	-0.3964	2	5	6	4	2021.25
133	城市治理	1.3631	0.291	5	1	1	2	2022.5
136	城市现代化	-0.1435	-0.2758	9	3	3	2	2013.5
138	城市绿化	1.1436	0.3204	5	1	1	2	2006.5
146	城市规划	1.1161	0.29	5	4	4	3	2008
150	城市设计	0.2057	-0.283	3	6	7	4	2009.5
152	城市轨道交通	-0.0477	-0.5572	6	3	3	3	2013.6667
154	城镇化	0.2909	0.2237	8	7	7	3	2017
155	基础设施	-0.3771	-0.5403	6	2	2	2	2012.5
170	实效性	-0.9037	-0.4193	2	3	4	2	2013.5
188	建筑环境	0.2903	-0.1477	3	3	4	2	1998.5
193	影响因素	-0.8413	-0.3428	2	5	5	3	2016.6667
195	循环经济	0.0248	0.4941	1	3	5	3	2012
201	技术体系	-0.7581	-0.3904	2	6	6	2	2017.5
202	指标体系	-0.6462	-0.3351	2	6	7	5	2016.4
208	政策	-0.0281	0.877	1	4	4	2	2015.5
216	新型城镇化	-0.0735	0.8256	1	5	6	5	2016
217	新城市主义	-1.1697	0.3852	4	4	4	2	2015.5
241	欧洲	0.4757	0.2326	8	5	6	2	2012.5
265	环境保护	0.1467	-0.5298	7	6	9	5	2007.6
277	环境质量	0.3765	0.389	8	4	4	2	2014
282	理论体系	-0.1167	0.4231	1	4	4	3	2019.6667
287	生态型城市	-1.1023	0.4348	4	4	6	2	2019
288	生态城	-0.8607	-0.4184	2	4	5	3	2013.6667
293	生态文明	-0.0047	0.3514	1	3	4	4	2017.75
294	生态环境	-0.7615	-0.2822	2	2	2	2	2011
303	碳中和	-0.3639	-0.6097	6	2	2	2	2021.5
325	精明增长	-1.1632	0.3334	4	2	2	2	2016
329	紧凑型城市	-1.1273	0.4722	4	4	6	2	2019
330	紧凑城市	1.0465	0.2356	5	4	4	2	2007.5
349	绿色制度	-0.092	1.0107	1	2	2	2	2017.5
350	绿色化	0.0684	-0.4919	6	3	3	2	2019
351	绿色北京	0.0617	0.0383	10	1	1	2	2012
353	绿色南京	0.3941	-0.8086	7	1	1	2	2008
355	绿色发展	-0.1393	0.9236	1	3	6	5	2017
357	绿色城市	-0.3559	0.06	4	28	51	48	2014.8298
358	绿色城市主义	0.7045	0.15	8	10	11	4	2012
361	绿色城市更新	1.3351	0.2858	5	2	2	3	2021
367	绿色城市设计	0.3784	-0.0379	3	6	8	9	2009.2222
370	绿色城镇化	-0.0605	0.988	1	2	2	2	2017
374	绿色建筑	-0.3165	-0.5635	6	5	5	4	2020.25
385	绿色生态城市	-0.0513	0.7087	1	4	4	2	2017.5
390	绿色经济	0.559	-0.4792	11	7	10	6	2012.5
395	绿色转型	0.6571	-0.5224	11	1	1	2	2015.5
403	自然	-0.1277	0.0608	10	2	3	2	2006
417	规划设计	-0.6124	0.2209	4	1	1	2	2020.5
431	轨道交通	0.5081	-0.5955	3	1	1	3	2014
444	风景园林	-0.3368	-0.1494	2	7	9	8	2017.25
